customer_id,signup_date,country,revenue ,score,email,notes,plan,age,last_login ,channel,is_active
CUST-000000-7479,2024-01-03,DE,825.37,79.9,,high-value lead,free,48,2024-04-02 13:30:00,organic,false
CUST-000001-6299,18/01/2023,POL,4424.50,76.3,,high-value lead,free,32,2024-07-06 07:36:00,email,false
CUST-000002-8382,12/07/2023,UA,3860.87,113.3,,champion in finance team,enterprise,71,2024-06-04 23:02:00,paid,true
CUST-000003-8850,"Jan 25, 2023",PL,1122.00,61.4,,champion in finance team,pro,44,2024-08-26 22:03:00,organic,false
CUST-000004-9953,2023-12-30,PL,2335.78,83.1,,champion in finance team,pro,72,2024-05-02 17:33:00,email,true
CUST-000005-9547,"Mar 24, 2024",DE,362.71,72.4,tom5@corp.io,follow up next quarter,trial,20,2024-06-02 04:55:00,referral,false
CUST-000006-6474,2024-07-13,DE,1759.05,76.7,,expansion opportunity,free,66,2025-08-25 14:45:00,paid,true
CUST-000007-6056,2024-03-19,DE,719.77,71.6,,follow up next quarter,free,25,2024-03-25 14:45:00,referral,true
CUST-000008-6209,2024-10-30,PL,1864.19,67.9,anna8@corp.io,needs onboarding call,enterprise,74,2026-05-29 19:37:00,referral,false
CUST-000009-5886,2023-11-17,Poland,4684.39,59.7,,needs onboarding call,enterprise,18,2024-09-10 17:36:00,organic,true
CUST-000010-4841,2023-10-18,UA,4161.07,62.2,,expansion opportunity,enterprise,53,2024-05-12 01:23:00,paid,false
CUST-000011-2051,"Jul 11, 2023",US,4014.37,81.2,,needs onboarding call,trial,20,2024-06-06 22:45:00,paid,true
CUST-000012-8152,2023-07-09,Poland,3857.71,64.8,,expansion opportunity,enterprise,72,2023-07-27 13:12:00,organic,false
CUST-000013-3984,27/06/2024,US,1359.30,79.1,,expansion opportunity,trial,19,2025-06-07 11:53:00,referral,true
CUST-000014-4126,2023-01-19,PL,1398.93,66.0,maria14@example.com,expansion opportunity,free,63,2023-03-21 11:44:00,paid,true
CUST-000015-3172,2023-08-18,US,817.04,63.6,,expansion opportunity,pro,71,2024-02-20 16:05:00,organic,true
CUST-000016-8863,2024-03-03,PL,41.82,71.8,,expansion opportunity,free,32,2024-08-04 16:42:00,referral,true
CUST-000017-1567,24/08/2024,DE,3745.72,72.3,,champion in finance team,trial,39,2025-08-31 13:12:00,referral,true
CUST-000018-1579,"Sep 25, 2024",US,3208.97,62.0,,expansion opportunity,pro,42,2025-01-13 16:06:00,organic,true
CUST-000019-3876,2024-07-19,PL,3153.10,70.5,,high-value lead,enterprise,51,2025-07-13 03:30:00,organic,true
CUST-000020-9764,2024-01-16,POL,1144.26,65.6,,champion in finance team,trial,35,2024-12-06 22:05:00,paid,false
CUST-000021-1190,"Oct 25, 2024",PL,4752.08,68.2,,expansion opportunity,pro,73,2026-06-14 08:15:00,social,true
CUST-000022-9571,2024-02-25,DE,2671.35,77.1,,needs onboarding call,enterprise,43,2025-04-03 22:45:00,organic,true
CUST-000023-8994,2024-11-29,US,3191.94,70.6,piotr23@corp.io,follow up next quarter,free,64,2026-06-20 02:53:00,paid,true
CUST-000024-1092,2023-07-27,PL,3229.00,75.2,,expansion opportunity,pro,37,2024-01-09 10:49:00,email,true
CUST-000025-1177,28/12/2024,US,48.46,57.0,,expansion opportunity,pro,25,2026-04-22 01:37:00,social,true
CUST-000026-4028,30/11/2024,US,N/A,63.0,,expansion opportunity,trial,65,2026-03-13 00:52:00,email,false
CUST-000027-3190,02/01/2023,DE,N/A,60.9,ivan27@corp.io,champion in finance team,trial,41,2024-06-03 13:39:00,organic,true
CUST-000028-2266,"Oct 19, 2024",US,1553.20,63.5,,renewal at risk,enterprise,75,2026-01-09 20:41:00,social,true
CUST-000029-6340,13/10/2023,US,2076.61,73.7,,expansion opportunity,enterprise,64,2025-02-23 13:40:00,email,true
CUST-000030-2478,27/04/2023,PL,4656.32,61.6,,expansion opportunity,enterprise,64,2024-09-09 12:09:00,referral,true
CUST-000031-2651,14/03/2023,PL,1931.76,71.3,,high-value lead,free,73,2023-12-26 19:27:00,referral,true
CUST-000032-5861,09/08/2024,PL,3564.14,69.1,,renewal at risk,free,43,2024-09-10 23:33:00,email,true
CUST-000033-3903,2023-07-23,DE,2623.82,80.9,,follow up next quarter,free,35,2023-12-11 00:13:00,referral,true
CUST-000034-6677,"Jun 21, 2024",DE,478.87,66.0,lena34@biz.dev,champion in finance team,trial,35,2024-12-31 05:46:00,paid,false
CUST-000035-3536,"Mar 18, 2023",US,3077.72,76.2,,needs onboarding call,trial,38,2024-08-06 23:35:00,referral,true
CUST-000036-2553,"Apr 01, 2024",PL,4743.94,77.0,lena36@corp.io,champion in finance team,enterprise,26,2025-11-06 14:15:00,paid,true
CUST-000037-2607,"Feb 14, 2024",US,398.42,66.3,,high-value lead,pro,26,2025-04-10 16:04:00,email,false
CUST-000038-5962,2023-09-05,DE,,72.1,ivan38@example.com,needs onboarding call,free,39,2023-10-22 09:34:00,organic,true
CUST-000039-7030,17/02/2024,UA,1053.59,60.5,,high-value lead,pro,56,2025-05-27 05:55:00,paid,false
CUST-000040-1023,24/01/2024,PL,339.32,59.6,,renewal at risk,pro,23,2025-03-27 08:16:00,referral,true
CUST-000041-8534,"Nov 06, 2023",DE,3765.72,85.7,ivan41@example.com,needs onboarding call,free,70,2025-05-29 08:19:00,referral,false
CUST-000042-1284,"Oct 21, 2024",US,2602.39,61.8,,champion in finance team,free,39,2025-11-23 21:35:00,social,true
CUST-000043-8098,12/12/2024,UA,947.45,70.5,,high-value lead,free,23,2025-05-04 23:02:00,organic,true
CUST-000044-2494,08/07/2023,UA,2462.33,82.1,,high-value lead,enterprise,18,2023-10-11 21:47:00,email,true
CUST-000045-4872,2023-04-20,PL,4311.06,84.8,,expansion opportunity,enterprise,38,2024-05-09 11:50:00,paid,true
CUST-000046-4491,2023-10-07,POL,,85.8,,renewal at risk,pro,46,2024-04-12 14:24:00,social,false
CUST-000047-8805,"Aug 27, 2023",UA,1996.35,63.3,,follow up next quarter,enterprise,59,2024-02-10 21:05:00,paid,false
CUST-000048-3789,2023-10-09,US,4698.92,77.1,,needs onboarding call,pro,69,2024-08-09 00:27:00,email,true
CUST-000049-4228,2024-01-01,US,2713.20,83.9,,follow up next quarter,pro,65,2025-08-02 16:38:00,organic,true
CUST-000050-5934,2024-01-09,US,2212.43,73.1,,renewal at risk,enterprise,32,2024-11-08 19:54:00,referral,true
CUST-000051-6823,2023-07-18,UA,4034.13,72.5,,follow up next quarter,pro,72,2024-12-30 10:35:00,social,false
CUST-000052-7492,2023-10-14,US,1595.42,63.4,,champion in finance team,trial,37,2023-12-04 02:40:00,email,false
CUST-000053-6316,19/07/2024,DE,193.29,115.5,,high-value lead,pro,73,2024-09-24 08:23:00,referral,true
CUST-000054-7927,14/11/2023,PL,837.12,59.4,,needs onboarding call,trial,33,2024-03-26 14:45:00,organic,false
CUST-000055-5323,13/08/2024,DE,354.75,76.8,,champion in finance team,free,43,2026-02-03 21:55:00,paid,false
CUST-000056-7077,2024-09-21,US,4367.34,66.0,lena56@example.com,expansion opportunity,trial,18,2025-10-16 15:08:00,referral,true
CUST-000057-8405,2023-04-03,DE,4740.29,67.3,,needs onboarding call,pro,32,2024-08-29 12:13:00,paid,false
CUST-000058-9897,2023-06-20,US,2630.58,65.6,,needs onboarding call,trial,47,2023-11-19 12:45:00,email,true
CUST-000059-9454,2023-02-19,PL,4765.24,75.5,piotr59@corp.io,renewal at risk,pro,28,2023-09-27 18:04:00,organic,false
CUST-000060-7015,18/08/2023,US,2367.93,55.6,lena60@biz.dev,renewal at risk,enterprise,30,2024-03-13 03:56:00,email,true
CUST-000061-1963,"Apr 12, 2023",DE,1088.03,61.3,ivan61@corp.io,needs onboarding call,pro,58,2024-10-01 21:04:00,paid,true
CUST-000062-2904,"Oct 02, 2023",PL,707.27,77.5,,high-value lead,enterprise,64,2024-09-16 07:57:00,social,false
CUST-000063-6048,2024-09-05,UA,4446.94,66.4,,champion in finance team,trial,27,2024-10-13 08:14:00,organic,true
CUST-000064-1761,"Jul 21, 2024",PL,832.56,70.4,,champion in finance team,enterprise,48,2025-10-03 13:10:00,referral,true
CUST-000065-3467,2023-05-31,PL,2529.82,75.4,maria65@example.com,renewal at risk,pro,30,2024-03-21 13:45:00,organic,false
CUST-000066-7990,"Sep 18, 2023",US,908.39,69.5,,renewal at risk,free,43,2025-04-20 09:30:00,paid,false
CUST-000067-4091,"Feb 05, 2023",DE,1087.60,61.2,maria67@corp.io,needs onboarding call,pro,58,2024-04-03 11:27:00,social,true
CUST-000068-9292,"Dec 11, 2023",US,3061.14,83.0,,expansion opportunity,trial,34,2025-05-26 15:15:00,referral,true
CUST-000069-7380,16/08/2023,DE,4188.91,79.3,,champion in finance team,trial,50,2024-02-09 10:02:00,referral,false
CUST-000070-3234,20/04/2024,UA,3461.72,75.8,maria70@biz.dev,follow up next quarter,free,50,2025-06-15 00:47:00,email,false
CUST-000071-3455,"Jan 21, 2023",UA,4494.11,66.9,,renewal at risk,pro,72,2024-08-24 17:42:00,paid,true
CUST-000072-9318,18/03/2024,DE,1406.15,73.7,,expansion opportunity,enterprise,70,2025-06-15 21:14:00,social,true
CUST-000073-4345,02/07/2024,UA,4192.82,73.2,,renewal at risk,free,72,2024-08-10 06:51:00,paid,true
CUST-000074-1947,2023-10-30,US,2264.26,61.4,,renewal at risk,free,32,2024-09-03 09:17:00,organic,true
CUST-000075-6352,"Aug 16, 2023",PL,1216.05,76.8,,expansion opportunity,pro,72,2024-09-25 11:10:00,organic,true
CUST-000076-6155,"Jul 06, 2024",DE,1594.55,60.9,maria76@corp.io,follow up next quarter,trial,41,2025-06-19 22:19:00,organic,true
CUST-000077-1286,23/12/2023,US,,64.9,,champion in finance team,pro,18,2025-02-14 04:34:00,referral,true
CUST-000078-1837,18/02/2024,UA,3033.09,69.8,,follow up next quarter,pro,28,2025-09-20 03:23:00,social,true
CUST-000079-1945,"Jan 26, 2023",DE,4973.66,65.8,alex79@biz.dev,high-value lead,pro,37,2024-05-21 13:35:00,social,false
CUST-000080-9796,12/10/2023,PL,N/A,63.5,,champion in finance team,trial,22,2023-10-30 05:51:00,social,true
CUST-000081-8756,"Jan 03, 2024",US,N/A,62.2,,expansion opportunity,enterprise,36,2024-09-30 02:50:00,email,true
CUST-000082-6186,2023-04-26,UA,2926.55,66.2,,follow up next quarter,enterprise,59,2024-04-05 12:17:00,organic,true
CUST-000083-5354,2024-08-09,pl ,1756.95,77.4,,follow up next quarter,pro,56,2025-11-03 13:36:00,email,true
CUST-000084-1740,"Jun 10, 2024",US,1727.63,68.7,,expansion opportunity,trial,65,2025-06-29 05:55:00,social,true
CUST-000085-7768,16/12/2023,DE,2750.40,55.9,maria85@mail.test,expansion opportunity,trial,29,2024-06-06 01:27:00,social,true
CUST-000086-6613,"Jun 27, 2024",PL,3864.32,75.4,,needs onboarding call,trial,34,2024-10-09 02:31:00,referral,true
CUST-000087-9102,"Apr 10, 2023",UA,997.07,72.7,,needs onboarding call,free,35,2024-09-24 01:11:00,referral,false
CUST-000088-9394,2023-12-06,DE,1180.63,86.8,,renewal at risk,free,37,2025-03-22 08:31:00,paid,false
CUST-000089-9747,2024-08-12,PL,2156.97,63.1,alex89@biz.dev,champion in finance team,trial,39,2025-03-06 14:56:00,referral,false
CUST-000090-3004,25/12/2024,PL,3777.43,55.0,,renewal at risk,trial,55,2025-12-24 03:50:00,social,true
CUST-000091-2453,27/09/2023,US,2722.73,79.9,,renewal at risk,trial,44,2024-03-12 22:52:00,email,true
CUST-000092-2160,2024-11-24,PL,2845.11,75.7,,follow up next quarter,enterprise,67,2026-06-02 07:37:00,social,true
CUST-000093-2322,"Jan 27, 2024",PL,3361.57,70.4,,follow up next quarter,trial,24,2024-12-22 15:52:00,paid,true
CUST-000094-2921,2024-11-22,UA,N/A,67.5,,champion in finance team,pro,65,2025-12-30 05:03:00,email,false
CUST-000095-7782,"Dec 24, 2024",UA,4847.70,66.6,,needs onboarding call,enterprise,69,2025-11-06 04:39:00,referral,true
CUST-000096-9886,"Jan 31, 2023",PL,2129.44,59.1,,needs onboarding call,enterprise,62,2024-07-19 02:18:00,referral,true
CUST-000097-5075,2023-01-28,US,4851.03,72.9,,expansion opportunity,enterprise,45,2023-08-13 05:21:00,email,true
CUST-000098-9605,02/10/2023,UA,3192.45,53.2,,renewal at risk,pro,72,2023-11-05 16:14:00,social,false
CUST-000099-3115,17/06/2023,UA,2204.50,66.2,lena99@biz.dev,follow up next quarter,trial,57,2024-12-01 19:59:00,paid,true
CUST-000100-7741,"Apr 11, 2023",UA,29.85,77.8,,renewal at risk,pro,59,2024-11-11 13:07:00,organic,true
CUST-000101-7959,2024-08-07,US,1629.78,67.1,,expansion opportunity,pro,50,2026-01-03 20:20:00,social,false
CUST-000102-1556,08/05/2024,PL,4908.11,58.8,maria102@mail.test,follow up next quarter,enterprise,73,2025-01-21 03:39:00,organic,true
CUST-000103-4134,"Jul 30, 2023",PL,2366.74,66.0,kasia103@example.com,renewal at risk,enterprise,49,2024-07-29 17:47:00,organic,true
CUST-000104-3957,2024-07-29,UA,3130.27,66.8,,expansion opportunity,enterprise,68,2024-10-23 11:36:00,organic,false
CUST-000105-8886,"May 05, 2023",UA,4218.25,58.8,,needs onboarding call,pro,44,2023-10-14 06:10:00,referral,true
CUST-000106-8219,20/03/2023,UA,606.23,64.4,,follow up next quarter,enterprise,43,2023-06-12 18:30:00,paid,true
CUST-000107-9717,2024-09-01,PL,4893.33,63.1,,champion in finance team,trial,71,2024-11-23 10:58:00,social,true
CUST-000108-3099,2023-04-18,UA,4374.85,72.1,,follow up next quarter,free,58,2023-10-20 16:26:00,email,true
CUST-000109-1039,"Apr 21, 2024",US,4312.74,72.5,,champion in finance team,free,69,2024-09-08 22:16:00,organic,true
CUST-000110-4714,"Aug 13, 2023",UA,4580.96,68.0,,champion in finance team,enterprise,51,2023-12-24 04:17:00,paid,true
CUST-000111-8585,2023-12-14,UA,1109.34,69.2,,follow up next quarter,trial,55,2024-10-04 01:54:00,paid,true
CUST-000112-5916,2024-03-02,UA,641.87,64.1,,"Customer reported issue with shipping, refund issued.",free,41,2024-07-22 17:04:00,social,true
CUST-000113-2511,"Aug 10, 2023",US,1611.88,74.1,anna113@example.com,needs onboarding call,enterprise,43,2023-11-11 02:00:00,organic,true
CUST-000114-6466,02/05/2023,UA,3285.65,64.4,lena114@corp.io,high-value lead,trial,54,2024-03-02 02:33:00,referral,false
CUST-000115-2894,02/07/2023,US,2352.66,70.2,piotr115@biz.dev,expansion opportunity,pro,46,2024-12-12 03:53:00,paid,true
CUST-000116-9411,2023-12-10,DE,75.87,75.7,,high-value lead,enterprise,47,2025-06-01 05:58:00,referral,true
CUST-000117-7855,2024-05-04,DE,101.93,63.9,,champion in finance team,trial,45,2025-02-25 19:35:00,email,true
CUST-000118-7329,2023-10-14,US,3812.90,70.9,maria118@biz.dev,high-value lead,trial,21,2024-05-25 04:46:00,referral,true
CUST-000119-8993,"Mar 14, 2024",UA,950.04,75.1,,needs onboarding call,pro,42,2024-04-17 04:07:00,social,true
CUST-000120-4026,09/04/2024,US,3831.15,62.6,,expansion opportunity,free,49,2025-01-20 10:30:00,organic,true
CUST-000121-6386,07/06/2024,DE,2073.85,65.6,,expansion opportunity,pro,45,2024-09-01 15:51:00,email,true
CUST-000122-6187,2023-07-15,US,1587.90,75.6,,renewal at risk,pro,28,2025-02-06 03:33:00,social,false
CUST-000123-1382,2024-06-17,US,4017.71,62.6,,renewal at risk,free,66,2025-09-01 18:10:00,organic,true
CUST-000124-5929,19/07/2023,PL,728.56,60.9,,renewal at risk,pro,43,2023-10-09 03:51:00,organic,true
CUST-000125-5384,2023-06-20,DE,146.96,77.0,piotr125@example.com,follow up next quarter,enterprise,29,2024-11-19 22:26:00,paid,true
CUST-000126-5527,10/02/2024,Poland,2783.46,62.4,,expansion opportunity,free,20,2024-07-28 05:06:00,organic,true
CUST-000127-7806,01/06/2024,UA,760.93,64.2,,champion in finance team,enterprise,54,2025-01-14 14:48:00,social,true
CUST-000128-8054,2024-09-12,PL,N/A,73.3,,renewal at risk,trial,25,2026-04-21 20:54:00,social,true
CUST-000129-1477,"May 13, 2024",PL,762.76,61.6,,follow up next quarter,free,20,2025-06-25 05:45:00,organic,false
CUST-000130-3756,2023-06-04,UA,4086.31,62.6,tom130@example.com,champion in finance team,enterprise,74,2024-06-08 01:00:00,referral,true
CUST-000131-9463,2024-05-22,UA,4977.80,71.1,,follow up next quarter,enterprise,40,2025-01-27 20:37:00,organic,false
CUST-000132-7885,2024-12-14,DE,4703.96,76.1,,high-value lead,pro,47,2025-08-23 10:55:00,social,true
CUST-000133-4942,2023-09-14,DE,4545.22,73.9,,needs onboarding call,pro,29,2024-08-22 14:37:00,email,true
CUST-000134-2327,2023-09-30,UA,1186.86,60.5,alex134@mail.test,needs onboarding call,free,66,2024-12-06 09:44:00,social,true
CUST-000135-2550,"Apr 10, 2023",US,4243.82,58.7,,high-value lead,trial,58,2024-07-26 22:04:00,social,true
CUST-000136-4458,17/03/2024,PL,2944.57,67.1,,needs onboarding call,free,65,2025-03-08 00:24:00,organic,true
CUST-000137-4708,"Jul 05, 2023",pl ,4689.84,70.6,,renewal at risk,trial,36,2024-06-23 21:55:00,paid,true
CUST-000138-6124,"Aug 16, 2023",DE,599.87,69.0,,expansion opportunity,free,21,2023-10-25 02:53:00,social,true
CUST-000139-1330,"Jun 21, 2023",US,2844.39,69.5,,champion in finance team,enterprise,45,2023-11-03 22:52:00,social,true
CUST-000140-7320,10/04/2023,UA,4246.00,73.0,,high-value lead,pro,69,2023-07-14 22:00:00,organic,false
CUST-000141-4601,2024-02-19,UA,N/A,74.7,,champion in finance team,pro,69,2024-07-07 06:02:00,referral,false
CUST-000142-8438,2024-05-11,POL,1673.42,69.0,,renewal at risk,pro,53,2025-12-01 21:09:00,paid,false
CUST-000143-4982,2023-02-08,PL,482.45,60.3,,expansion opportunity,enterprise,37,2024-04-22 09:46:00,paid,true
CUST-000144-9713,"Apr 05, 2024",US,1639.01,78.3,piotr144@example.com,needs onboarding call,enterprise,52,2025-10-01 07:49:00,social,true
CUST-000145-6623,21/08/2024,DE,2020.33,75.3,,expansion opportunity,trial,55,2025-08-25 09:03:00,organic,false
CUST-000146-8975,05/07/2023,DE,1584.88,69.6,,champion in finance team,free,68,2024-08-30 04:53:00,organic,true
CUST-000147-9413,16/11/2024,DE,952.16,71.6,,needs onboarding call,enterprise,18,2025-08-06 09:34:00,social,false
CUST-000148-3618,31/05/2023,UA,1134.50,75.3,alex148@corp.io,high-value lead,free,21,2023-12-09 13:59:00,organic,true
CUST-000149-7064,2024-05-04,PL,2400.60,80.3,anna149@biz.dev,follow up next quarter,trial,66,2024-10-25 04:44:00,social,true
CUST-000150-7623,"Nov 11, 2023",pl ,3941.54,65.6,,expansion opportunity,pro,19,2024-02-11 09:00:00,referral,false
CUST-000151-8707,2023-12-29,US,2690.86,67.0,tom151@example.com,follow up next quarter,free,72,2025-03-25 11:14:00,referral,false
CUST-000152-5376,2023-02-24,DE,1552.58,60.0,,renewal at risk,trial,20,2023-08-14 06:23:00,paid,true
CUST-000153-7154,16/09/2023,DE,4410.71,88.1,,high-value lead,pro,64,2023-10-30 14:31:00,paid,true
CUST-000154-1377,2024-11-29,US,2067.95,72.5,kasia154@corp.io,needs onboarding call,pro,75,2026-05-25 08:52:00,social,true
CUST-000155-4674,"Jul 15, 2023",DE,2279.83,78.1,,follow up next quarter,enterprise,72,2024-08-27 18:58:00,referral,false
CUST-000156-1133,"Sep 13, 2024",US,4177.09,64.9,,high-value lead,pro,37,2025-08-28 00:48:00,referral,true
CUST-000157-5700,"Jan 13, 2024",US,1894.79,75.5,ivan157@mail.test,high-value lead,trial,51,2024-01-19 00:17:00,organic,true
CUST-000158-4755,"Jan 28, 2024",DE,2750.51,75.0,,high-value lead,pro,42,2025-02-09 15:50:00,email,true
CUST-000159-5502,"Mar 07, 2023",US,1247.16,66.9,tom159@corp.io,follow up next quarter,trial,36,2024-10-20 02:33:00,referral,true
CUST-000160-6735,2023-11-24,US,1488.27,76.5,,champion in finance team,trial,65,2024-06-22 16:32:00,paid,true
CUST-000161-3669,"May 11, 2023",PL,,59.7,,renewal at risk,pro,44,2024-08-16 09:35:00,referral,true
CUST-000162-5082,2023-01-31,PL,1620.04,70.5,,needs onboarding call,trial,41,2023-03-29 20:03:00,referral,false
CUST-000163-3955,"Mar 16, 2024",PL,2697.94,77777.0,,expansion opportunity,free,50,2025-07-23 10:37:00,email,true
CUST-000164-7782,02/02/2024,PL,4729.56,58.4,,expansion opportunity,trial,33,2025-07-28 14:04:00,referral,true
CUST-000165-3099,2024-04-18,PL,2768.77,67.6,lena165@example.com,follow up next quarter,trial,55,2025-05-15 06:53:00,organic,true
CUST-000166-8928,"Sep 28, 2024",DE,1829.98,58.9,piotr166@corp.io,renewal at risk,trial,25,2024-11-06 12:03:00,referral,true
CUST-000167-9848,"Aug 29, 2024",PL,1499.57,68.3,alex167@biz.dev,renewal at risk,pro,61,2025-09-24 10:37:00,email,true
CUST-000168-8678,23/11/2024,UA,2089.60,83.3,,expansion opportunity,trial,33,2024-12-22 15:05:00,referral,true
CUST-000169-4693,29/03/2024,US,4027.88,60.5,,champion in finance team,enterprise,23,2025-04-17 09:26:00,referral,true
CUST-000170-8099,"May 20, 2024",DE,199.64,27.3,,renewal at risk,enterprise,62,2025-03-28 02:53:00,paid,true
CUST-000171-3592,"May 16, 2024",DE,4227.77,64.7,,expansion opportunity,enterprise,36,2024-12-07 19:28:00,organic,false
CUST-000172-9120,2023-01-31,poland,3503.83,78.4,alex172@biz.dev,high-value lead,enterprise,24,2024-01-21 13:37:00,email,false
CUST-000173-8765,25/05/2023,US,1708.24,67.3,,high-value lead,pro,46,2024-08-20 06:37:00,paid,true
CUST-000174-2975,19/01/2024,PL,2645.84,64.3,kasia174@example.com,champion in finance team,free,22,2025-04-20 02:35:00,referral,true
CUST-000175-4328,22/10/2023,US,1472.06,74.6,,champion in finance team,trial,35,2025-02-09 13:52:00,paid,false
CUST-000176-7823,"Jan 27, 2024",US,2088.65,52.2,ivan176@biz.dev,renewal at risk,enterprise,26,2024-12-11 15:40:00,paid,true
CUST-000177-4207,2023-03-27,DE,3769.53,55.2,,renewal at risk,trial,36,2023-11-20 09:49:00,paid,true
CUST-000178-2892,"Jul 04, 2023",UA,480.68,70.8,maria178@biz.dev,champion in finance team,free,48,2023-07-09 17:00:00,organic,true
CUST-000179-5606,07/02/2023,PL,2478.37,72.5,,expansion opportunity,pro,31,2023-08-11 15:17:00,organic,true
CUST-000180-7298,04/03/2024,US,1124.18,70.6,maria180@example.com,high-value lead,free,74,2024-07-16 15:16:00,paid,false
CUST-000181-2187,27/08/2023,UA,4132.82,68.2,,follow up next quarter,pro,75,2024-08-09 14:18:00,organic,false
CUST-000182-7036,11/12/2024,US,3226.18,73.1,,champion in finance team,enterprise,24,2025-07-31 14:02:00,email,true
CUST-000183-4661,"May 24, 2024",PL,4154.68,79.4,,renewal at risk,trial,36,2026-01-12 19:08:00,referral,true
